ID	File	Speaker	Token	Adjective	Variant	Ethnicity	Gender	Age	Occupation	Education	L1	Date	Frequency	Function	Amplified	Priming	Gradability	SemanticCategory	Emotionality	AgeNumeric
32270	DPC002	MK	poor/JJ	poor	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.36534	Attributive	0	NoPrime	-3.66356164612965	Value	NonEmotional	NA
32271	DPC002	MK	old/JJ	old	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	1.35699	Attributive	0	NoPrime	-2.40798719126144	Age	NonEmotional	NA
32273	DPC002	MK	ill/JJ	ill	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.10438	Attributive	0	NoPrime	-3.66356164612965	HumanPropensity	NegativeEmotional	NA
32278	DPC002	MK	sick/JJ	sick	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.20877	Attributive	0	NoPrime	-0.860160540244131	HumanPropensity	NegativeEmotional	NA
32279	DPC002	MK	sick/JJ	sick	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.20877	Attributive	0	NoPrime	-0.79407229638527	HumanPropensity	NegativeEmotional	NA
32284	DPC002	DS	good/JJ	good	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	4.46144	Attributive	0	NoPrime	-2.5445852405715	Value	PositiveEmotional	NA
32302	DPC002	MK	necessary/JJ	necessary	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.57411	Predicative	0	NoPrime	-0.0875722086529048	Value	NonEmotional	NA
32309	DPC002	MK	different/JJ	different	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.88727	Attributive	0	NoPrime	1	Other	NonEmotional	NA
32310	DPC002	MK	keen/JJ	keen	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.10438	Attributive	0	NoPrime	-2.5179460794177	HumanPropensity	NonEmotional	NA
32313	DPC002	DS	good/JJ	good	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	4.46144	Attributive	0	NoPrime	-3.66356164612965	Value	PositiveEmotional	NA
32319	DPC002	MK	sick/JJ	sick	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.20877	Attributive	0	NoPrime	-0.167001824480752	HumanPropensity	NegativeEmotional	NA
32334	DPC002	MK	odd/JJ	odd	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.31315	Attributive	0	NoPrime	-0.771431889546112	Value	NonEmotional	NA
32356	DPC002	MK	friendly/JJ	friendly	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.41754	Attributive	0	NoPrime	1	HumanPropensity	PositiveEmotional	NA
32358	DPC002	MK	black/JJ	black	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.10438	Predicative	0	NoPrime	-0.456301080574778	Color	NegativeEmotional	NA
32361	DPC002	DS	good/JJ	good	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	4.46144	Predicative	0	NoPrime	0.713353960518449	Value	PositiveEmotional	NA
32362	DPC002	DS	different/JJ	different	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.99851	Predicative	0	NoPrime	1	Other	NonEmotional	NA
32363	DPC002	DS	conservative/JJ	conservative	very	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.04249	Predicative	1	NoPrime	1	HumanPropensity	NonEmotional	NA
32365	DPC002	MK	conservative/JJ	conservative	very	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.05219	Attributive	1	Prime	1	HumanPropensity	NonEmotional	NA
32366	DPC002	DS	real/JJ	real	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.65859	Attributive	0	NoPrime	-1.66632365343951	Value	PositiveEmotional	NA
32387	DPC002	MK	old/JJ	old	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	1.35699	Attributive	0	NoPrime	-2.08745946145417	Age	NonEmotional	NA
32389	DPC002	MK	different/JJ	different	totally	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.88727	Attributive	1	NoPrime	1	Other	NonEmotional	NA
32392	DPC002	DS	young/JJ	young	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.27618	Attributive	0	NoPrime	-0.315868097876527	Age	PositiveEmotional	NA
32393	DPC002	DS	sure/JJ	sure	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.76482	Attributive	0	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	NA
32395	DPC002	DS	few/JJ	few	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.87104	Attributive	0	NoPrime	1	Other	NonEmotional	NA
32396	DPC002	DS	different/JJ	different	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.99851	Attributive	0	NoPrime	1	Other	NonEmotional	NA
32398	DPC002	DS	sure/JJ	sure	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.76482	Predicative	0	NoPrime	-1.84072751703456	HumanPropensity	NonEmotional	NA
32399	DPC002	MK	slow/JJ	slow	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.10438	Attributive	0	NoPrime	-0.399333229426331	Speed	NonEmotional	NA
32407	DPC002	MK	slow/JJ	slow	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.10438	Attributive	0	NoPrime	0.154385504711339	Speed	NonEmotional	NA
32412	DPC002	MK	right/JJ	right	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	1.35699	Attributive	0	NoPrime	-0.845850019936695	Value	NonEmotional	NA
32413	DPC002	MK	awful/JJ	awful	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.31315	Attributive	0	NoPrime	-1.95649553666731	Value	NegativeEmotional	NA
32415	DPC002	DS	last/JJ	last	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	1.52964	Attributive	0	NoPrime	1	Position	NonEmotional	NA
32418	DPC002	DS	hot/JJ	hot	0	PAKEHA	Woman	30-39	LECTURER	University	ENGLISH	18/9/90 	0.10622	Predicative	0	NoPrime	-0.0147178678387015	PhysicalProperty	NonEmotional	NA
32420	DPC002	MK	hot/JJ	hot	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	0.36534	Predicative	0	NoPrime	0.195570503730872	PhysicalProperty	NonEmotional	NA
32422	DPC002	MK	last/JJ	last	0	PAKEHA	Woman	50+		University	ENGLISH	18/9/90 	1.20042	Attributive	0	NoPrime	1	Position	NonEmotional	NA
