ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	really	FileSpeaker
32363	DPC002	DS	conservative	PAKEHA	Woman	30-39	University	ENGLISH	0.04249	Predicative	NoPrime	1	HumanPropensity	NonEmotional	other	DPC002DS
32365	DPC002	MK	conservative	PAKEHA	Woman	50+	University	ENGLISH	0.05219	Attributive	Prime	1	HumanPropensity	NonEmotional	other	DPC002MK
32389	DPC002	MK	different	PAKEHA	Woman	50+	University	ENGLISH	0.88727	Attributive	NoPrime	1	Other	NonEmotional	other	DPC002MK
32486	DPC002	DS	reasonable	PAKEHA	Woman	30-39	University	ENGLISH	0.12747	Predicative	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC002DS
32565	DPC003	MJ	tough	PAKEHA	Man	40-49	University	ENGLISH	0.11359	Predicative	NoPrime	0.287852559140141	PhysicalProperty	NegativeEmotional	really	DPC003MJ
32610	DPC003	RW	nasty	PAKEHA	Woman	40-49	University	ENGLISH	0.09471	Attributive	NoPrime	-2.39237728290092	HumanPropensity	NegativeEmotional	other	DPC003RW
32694	DPC003	FG	long	PAKEHA	Woman	40-49	University	ENGLISH	0.76672	Attributive	NoPrime	0.0383688504178689	Dimension	NonEmotional	other	DPC003FG
32751	DPC003	MJ	good	PAKEHA	Man	40-49	University	ENGLISH	3.54962	Predicative	NoPrime	-0.985171412455022	Value	PositiveEmotional	other	DPC003MJ
32772	DPC003	MJ	interested	PAKEHA	Man	40-49	University	ENGLISH	0.19878	Attributive	NoPrime	1	HumanPropensity	PositiveEmotional	other	DPC003MJ
33063	DPC004	WE	easy	MAORI	Woman	50+	NoUniversity	OTHER	0.10438	Attributive	NoPrime	-0.331088375551454	Difficulty	NonEmotional	other	DPC004WE
33094	DPC004	BH	wrong	PAKEHA	Woman	40-49	University	ENGLISH	0.31571	Predicative	NoPrime	-3.66356164612965	Value	NegativeEmotional	other	DPC004BH
33123	DPC007	LL	technical	MAORI	Woman	20-29	University	ENGLISH	0.10307	Attributive	NoPrime	-3.66356164612965	Other	NonEmotional	other	DPC007LL
33131	DPC007	LL	perfect	MAORI	Woman	20-29	University	ENGLISH	0.0773	Attributive	NoPrime	-1.09583647339428	Value	PositiveEmotional	other	DPC007LL
33228	DPC007	RR	right	MAORI	Woman	20-29	University	ENGLISH	1.57176	Attributive	NoPrime	-3.66356164612965	Value	NonEmotional	other	DPC007RR
33293	DPC007	RR	stupid	MAORI	Woman	20-29	University	ENGLISH	0.20613	Predicative	NoPrime	0.635525576235116	HumanPropensity	NegativeEmotional	other	DPC007RR
33334	DPC007	LL	important	MAORI	Woman	20-29	University	ENGLISH	0.4638	Attributive	NoPrime	1	Value	PositiveEmotional	other	DPC007LL
33352	DPC007	LL	obvious	MAORI	Woman	20-29	University	ENGLISH	0.12883	Attributive	NoPrime	-3.66356164612965	Other	PositiveEmotional	really	DPC007LL
33443	DPC007	LL	neat	MAORI	Woman	20-29	University	ENGLISH	0.05153	Attributive	NoPrime	3.46875317080178	HumanPropensity	NonEmotional	really	DPC007LL
33478	DPC007	LL	clever	MAORI	Woman	20-29	University	ENGLISH	0.0773	Attributive	NoPrime	1	HumanPropensity	PositiveEmotional	other	DPC007LL
33585	DPC008	AN	strange	PAKEHA	Woman	20-29	University	ENGLISH	0.10307	Attributive	NoPrime	-2.61078590279729	Other	NonEmotional	really	DPC008AN
33675	DPC008	KK	hot	PAKEHA	Woman	20-29	University	ENGLISH	0.28343	Predicative	NoPrime	-0.0235865270765462	PhysicalProperty	NonEmotional	really	DPC008KK
33681	DPC008	KK	hot	PAKEHA	Woman	20-29	University	ENGLISH	0.28343	Attributive	NoPrime	-0.324433673866301	PhysicalProperty	NonEmotional	other	DPC008KK
33703	DPC008	HH	cold	PAKEHA	Man	30-39	University	ENGLISH	0.13788	Attributive	NoPrime	-1.52835183120226	PhysicalProperty	NegativeEmotional	other	DPC008HH
33705	DPC008	HH	cold	PAKEHA	Man	30-39	University	ENGLISH	0.13788	Predicative	Prime	-3.66356164612965	PhysicalProperty	NegativeEmotional	other	DPC008HH
33729	DPC008	HH	good	PAKEHA	Man	30-39	University	ENGLISH	6.02718	Predicative	NoPrime	0.106244495295878	Value	PositiveEmotional	really	DPC008HH
33819	DPC008	HH	big	PAKEHA	Man	30-39	University	ENGLISH	1.24089	Attributive	NoPrime	-1.52776536217	Dimension	NonEmotional	other	DPC008HH
33882	DPC009	SG	sure	PAKEHA	Man	20-29	University	ENGLISH	1.25365	Predicative	NoPrime	-1.37474250938578	HumanPropensity	NonEmotional	other	DPC009SG
33929	DPC009	SG	valid	PAKEHA	Man	20-29	University	ENGLISH	0.01885	Attributive	NoPrime	-2.50192548729415	Value	NonEmotional	other	DPC009SG
33939	DPC009	SG	easy	PAKEHA	Man	20-29	University	ENGLISH	0.30163	Predicative	NoPrime	-0.796767692495904	Difficulty	NonEmotional	other	DPC009SG
34258	DPC010	BN	busy	PAKEHA	Man	20-29	University	ENGLISH	0.16024	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	really	DPC010BN
34265	DPC010	BN	clear	PAKEHA	Man	20-29	University	ENGLISH	0.23565	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	NonEmotional	other	DPC010BN
34417	DPC010	BN	close	PAKEHA	Man	20-29	University	ENGLISH	0.09426	Attributive	NoPrime	-2.79245082499131	Position	NonEmotional	really	DPC010BN
34432	DPC012	JU	awesome	PAKEHA	Man	20-29	University	ENGLISH	0.1546	Attributive	NoPrime	-1.60463856468868	Value	NonEmotional	other	DPC012JU
34434	DPC012	AH	amazing	PAKEHA	Man	16-19	NoUniversity	ENGLISH	0.29838	Attributive	Prime	1	Value	NonEmotional	other	DPC012AH
